skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
3,1281,2737,120.11269837220806,2,1.0,0.0,746,905,855,919,746,905,855,919,109.89540481748998
2,1289,1392,20.48528137423857,1,1.0,0.0,747,403,753,385,747,403,753,385,18.973665961010276
2,1289,2372,93.1837661840735,2,1.0,0.0,747,403,829,378,747,403,829,378,85.72630868059116
1,1300,1729,89.84062043356589,2,1.0,0.0,747,2464,778,2541,747,2464,778,2541,83.00602387778854
1,1300,2092,61.071067811865476,2,1.0,0.0,747,2464,806,2463,747,2464,806,2463,59.00847396772772
4,1603,1929,26.242640687119287,1,1.0,0.0,770,1416,795,1415,770,1416,795,1415,25.019992006393608
3,1628,3168,137.39696961967,1,1.0,0.0,772,824,890,830,772,824,890,830,118.15244390193544
1,1729,4302,258.42135623730985,1,1.0,0.0,778,2541,990,2646,778,2541,990,2646,236.57768280207665
4,1929,2142,36.79898987322333,1,1.0,0.0,795,1415,810,1445,795,1415,810,1445,33.54101966249684
4,1929,3627,150.42640687119288,2,1.0,0.0,795,1415,932,1388,795,1415,932,1388,139.6352391053204
1,2092,2860,68.04163056034261,2,1.0,0.0,806,2463,865,2450,806,2463,865,2450,60.41522986797286
1,2092,2889,73.52691193458116,2,1.0,0.0,806,2463,865,2479,806,2463,865,2479,61.1310068623117
2,2372,2502,47.89949493661165,2,1.0,0.0,829,378,836,333,829,378,836,333,45.5411901469428
2,2372,4108,161.15432893255067,2,1.0,0.0,829,378,974,345,829,378,974,345,148.70776711389354
3,2443,2535,13.485281374238571,1,1.0,0.0,832,865,838,854,832,865,838,854,12.529964086141668
2,2502,3935,135.8406204335659,1,1.0,0.0,836,333,959,302,836,333,959,302,126.84636376341263
3,2535,3168,66.62741699796949,2,1.0,0.0,838,854,890,830,838,854,890,830,57.271284253105414
0,2621,2661,11.242640687119286,1,1.0,0.0,845,1923,848,1913,845,1923,848,1913,10.44030650891055
0,2621,5523,328.3675323681473,2,1.0,0.0,845,1923,1151,1959,845,1923,1151,1959,308.11036983522644
3,2737,4509,206.8650070512056,1,1.0,0.0,855,919,1012,1021,855,919,1012,1021,187.22446421341417
3,2737,4095,131.8406204335659,2,1.0,0.0,855,919,973,887,855,919,973,887,122.2620137246234
1,2860,2889,29.0,2,1.0,0.0,865,2450,865,2479,865,2450,865,2479,29.0
1,2860,4554,162.28427124746193,2,1.0,0.0,865,2450,1017,2434,865,2450,1017,2434,152.8397853963424
1,2889,4133,132.74011537017756,2,1.0,0.0,865,2479,975,2522,865,2479,975,2522,118.10588469674151
3,3168,3347,18.242640687119284,2,1.0,0.0,890,830,907,827,890,830,907,827,17.26267650163207
3,3347,3580,29.62741699796953,1,1.0,0.0,907,827,928,809,907,827,928,809,27.65863337187866
3,3347,4080,72.4558441227157,1,1.0,0.0,907,827,972,845,907,827,972,845,67.446274915669
4,3627,4050,63.35533905932735,1,1.0,0.0,932,1388,970,1348,932,1388,970,1348,55.17245689653489
4,3627,5105,175.6274169979696,2,1.0,0.0,932,1388,1099,1400,932,1388,1099,1400,167.4305826305338
