skeleton-id,filename,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,branch-distance
4.0,test_image_10.png,768.0,1417.0,790.0,1412.0,24.65685424949238
1.0,test_image_10.png,775.0,2457.0,893.0,2488.0,137.42640687119285
1.0,test_image_10.png,775.0,2457.0,855.0,2446.0,84.55634918610403
4.0,test_image_10.png,790.0,1412.0,810.0,1445.0,41.870057685088796
4.0,test_image_10.png,790.0,1412.0,925.0,1392.0,145.76955262170046
1.0,test_image_10.png,796.0,2549.0,990.0,2646.0,235.9360748630711
2.0,test_image_10.png,823.0,382.0,848.0,333.0,59.94112549695425
2.0,test_image_10.png,823.0,382.0,967.0,344.0,160.5685424949238
3.0,test_image_10.png,836.0,910.0,860.0,932.0,40.72792206135786
3.0,test_image_10.png,836.0,910.0,858.0,911.0,22.414213562373096
0.0,test_image_10.png,844.0,1923.0,848.0,1912.0,12.656854249492381
0.0,test_image_10.png,844.0,1923.0,1766.0,2016.0,984.5462479183386
2.0,test_image_10.png,848.0,333.0,959.0,302.0,123.84062043356587
1.0,test_image_10.png,855.0,2446.0,893.0,2488.0,63.01219330881972
1.0,test_image_10.png,855.0,2446.0,1017.0,2434.0,170.28427124746196
3.0,test_image_10.png,858.0,911.0,860.0,932.0,21.82842712474619
3.0,test_image_10.png,858.0,911.0,911.0,897.0,58.79898987322332
3.0,test_image_10.png,860.0,932.0,1013.0,1022.0,192.6223663640863
1.0,test_image_10.png,893.0,2488.0,955.0,2502.0,69.45584412271567
3.0,test_image_10.png,911.0,897.0,1776.0,710.0,948.1147904132629
3.0,test_image_10.png,911.0,897.0,1016.0,905.0,112.21320343559641
4.0,test_image_10.png,925.0,1392.0,970.0,1348.0,69.66904755831209
4.0,test_image_10.png,925.0,1392.0,1086.0,1398.0,165.97056274847716
1.0,test_image_10.png,955.0,2502.0,956.0,2494.0,8.414213562373096
1.0,test_image_10.png,955.0,2502.0,1078.0,2557.0,146.953318805774
2.0,test_image_10.png,967.0,344.0,1039.0,334.0,77.31370849898475
2.0,test_image_10.png,967.0,344.0,1018.0,411.0,90.4680374315354
1.0,test_image_10.png,1017.0,2434.0,1021.0,2424.0,11.656854249492381
1.0,test_image_10.png,1017.0,2434.0,1241.0,2447.0,234.9411254969544
2.0,test_image_10.png,1039.0,334.0,1097.0,314.0,67.45584412271569
2.0,test_image_10.png,1039.0,334.0,1106.0,384.0,92.98275605729684
4.0,test_image_10.png,1086.0,1398.0,1134.0,1429.0,63.76955262170045
4.0,test_image_10.png,1086.0,1398.0,1127.0,1382.0,48.21320343559641
2.0,test_image_10.png,1097.0,314.0,1173.0,264.0,101.98275605729684
2.0,test_image_10.png,1097.0,314.0,1274.0,288.0,188.59797974644673
4.0,test_image_10.png,1127.0,1382.0,1143.0,1352.0,37.798989873223334
4.0,test_image_10.png,1127.0,1382.0,1411.0,1383.0,295.1837661840737
1.0,test_image_10.png,1241.0,2447.0,1302.0,2507.0,97.2253967444161
1.0,test_image_10.png,1241.0,2447.0,1365.0,2480.0,137.66904755831206
2.0,test_image_10.png,1274.0,288.0,1299.0,275.0,34.72792206135786
2.0,test_image_10.png,1274.0,288.0,1299.0,288.0,28.313708498984763
2.0,test_image_10.png,1299.0,275.0,1299.0,288.0,13.0
2.0,test_image_10.png,1299.0,275.0,1326.0,267.0,30.313708498984766
2.0,test_image_10.png,1299.0,288.0,1343.0,287.0,46.89949493661166
2.0,test_image_10.png,1326.0,267.0,1328.0,263.0,4.82842712474619
2.0,test_image_10.png,1326.0,267.0,1502.0,266.0,181.38477631085027
2.0,test_image_10.png,1342.0,256.0,1413.0,239.0,78.0416305603426
1.0,test_image_10.png,1365.0,2480.0,1495.0,2478.0,136.3847763108502
1.0,test_image_10.png,1365.0,2480.0,1616.0,2535.0,277.2964645562818
4.0,test_image_10.png,1411.0,1383.0,1648.0,1468.0,277.4802307403556
4.0,test_image_10.png,1411.0,1383.0,1585.0,1341.0,191.39696961967
2.0,test_image_10.png,1413.0,239.0,1489.0,191.0,103.98275605729683
2.0,test_image_10.png,1413.0,239.0,1502.0,266.0,104.87005768508878
2.0,test_image_10.png,1485.0,199.0,1489.0,191.0,9.65685424949238
2.0,test_image_10.png,1489.0,191.0,1503.0,186.0,16.071067811865476
2.0,test_image_10.png,1502.0,266.0,1515.0,266.0,13.0
2.0,test_image_10.png,1503.0,186.0,1532.0,164.0,41.04163056034261
2.0,test_image_10.png,1503.0,186.0,1571.0,186.0,72.72792206135784
4.0,test_image_10.png,1585.0,1341.0,1590.0,1366.0,27.07106781186548
4.0,test_image_10.png,1585.0,1341.0,1627.0,1339.0,42.82842712474619
4.0,test_image_10.png,1627.0,1339.0,1669.0,1329.0,46.727922061357845
4.0,test_image_10.png,1627.0,1339.0,1642.0,1360.0,29.55634918610405
4.0,test_image_10.png,1669.0,1329.0,1710.0,1309.0,51.62741699796952
4.0,test_image_10.png,1669.0,1329.0,1718.0,1332.0,53.89949493661166
4.0,test_image_10.png,1718.0,1332.0,1719.0,1329.0,3.414213562373095
4.0,test_image_10.png,1718.0,1332.0,1961.0,1339.0,248.97056274847716
3.0,test_image_10.png,1776.0,710.0,2122.0,605.0,393.00714267493703
3.0,test_image_10.png,1776.0,710.0,1786.0,713.0,12.071067811865476
0.0,test_image_11.png,539.0,1415.0,555.0,1411.0,19.65685424949238
0.0,test_image_11.png,555.0,1411.0,562.0,1436.0,28.72792206135786
0.0,test_image_11.png,555.0,1411.0,603.0,1412.0,50.89949493661166
0.0,test_image_11.png,603.0,1412.0,732.0,1322.0,179.1665222413705
0.0,test_image_11.png,603.0,1412.0,666.0,1425.0,68.38477631085023
1.0,test_image_11.png,615.0,383.0,630.0,375.0,18.899494936611667
2.0,test_image_11.png,628.0,1916.0,637.0,1914.0,9.82842712474619
1.0,test_image_11.png,630.0,375.0,637.0,373.0,8.414213562373096
1.0,test_image_11.png,630.0,375.0,644.0,397.0,28.970562748477146
1.0,test_image_11.png,637.0,373.0,638.0,366.0,7.414213562373095
1.0,test_image_11.png,637.0,373.0,732.0,371.0,97.48528137423857
2.0,test_image_11.png,637.0,1914.0,759.0,2018.0,177.37972567696698
2.0,test_image_11.png,637.0,1914.0,677.0,1904.0,44.14213562373095
3.0,test_image_11.png,661.0,2411.0,683.0,2429.0,56.14213562373095
3.0,test_image_11.png,661.0,2411.0,668.0,2397.0,17.48528137423857
3.0,test_image_11.png,661.0,2411.0,678.0,2413.0,18.65685424949238
0.0,test_image_11.png,666.0,1425.0,835.0,1347.0,216.23759005323603
0.0,test_image_11.png,666.0,1425.0,1901.0,1311.0,1325.8843430349636
2.0,test_image_11.png,677.0,1904.0,765.0,1840.0,122.71067811865466
2.0,test_image_11.png,677.0,1904.0,788.0,1908.0,117.62741699796948
3.0,test_image_11.png,681.0,2434.0,683.0,2429.0,5.82842712474619
3.0,test_image_11.png,682.0,2389.0,710.0,2382.0,32.55634918610405
3.0,test_image_11.png,683.0,2429.0,690.0,2424.0,9.071067811865476
3.0,test_image_11.png,690.0,2424.0,701.0,2409.0,20.72792206135786
3.0,test_image_11.png,690.0,2424.0,801.0,2431.0,118.0416305603426
3.0,test_image_11.png,701.0,2409.0,710.0,2382.0,30.72792206135786
3.0,test_image_11.png,701.0,2409.0,805.0,2406.0,106.07106781186548
3.0,test_image_11.png,710.0,2382.0,825.0,2363.0,123.45584412271569
4.0,test_image_11.png,717.0,832.0,723.0,830.0,6.82842712474619
4.0,test_image_11.png,723.0,830.0,780.0,818.0,62.556349186104015
4.0,test_image_11.png,723.0,830.0,891.0,947.0,232.52186130069808
1.0,test_image_11.png,732.0,371.0,740.0,369.0,9.414213562373096
1.0,test_image_11.png,732.0,371.0,736.0,388.0,18.656854249492383
1.0,test_image_11.png,740.0,369.0,741.0,364.0,5.414213562373095
1.0,test_image_11.png,740.0,369.0,1278.0,275.0,586.8772003600263
3.0,test_image_11.png,770.0,2449.0,867.0,2513.0,129.61017305526633
4.0,test_image_11.png,780.0,818.0,803.0,775.0,52.526911934581165
4.0,test_image_11.png,780.0,818.0,892.0,770.0,132.46803743153538
2.0,test_image_11.png,788.0,1908.0,832.0,1852.0,80.08326112068518
2.0,test_image_11.png,788.0,1908.0,870.0,1915.0,84.89949493661166
3.0,test_image_11.png,801.0,2431.0,862.0,2418.0,66.97056274847714
3.0,test_image_11.png,801.0,2431.0,867.0,2507.0,109.78174593052012
3.0,test_image_11.png,862.0,2418.0,947.0,2413.0,89.31370849898475
3.0,test_image_11.png,862.0,2418.0,954.0,2520.0,153.58073580374355
3.0,test_image_11.png,867.0,2507.0,867.0,2513.0,6.0
